Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Ward No. 37,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 38,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Ward No. 41,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode South,28
Beypore,Grama Panchayat,Beypore Grama Panchayat,Beypore,29
Cheruvannur-Nallalam,Grama Panchayat,Cheruvannur-Nallalam Grama Panchayat,Beypore,29
Feroke,Grama Panchayat,Feroke Grama Panchayat,Beypore,29
Kadalundi,Grama Panchayat,Kadalundi Grama Panchayat,Beypore,29
Ramanattukara,Grama Panchayat,Ramanattukara Grama Panchayat,Beypore,29
Chathamangalam,Grama Panchayat,Chathamangalam Grama Panchayat,Kunnamangalam,30
Kunnamangalam,Grama Panchayat,Kunnamangalam Grama Panchayat,Kunnamangalam,30
Mavoor,Grama Panchayat,Mavoor Grama Panchayat,Kunnamangalam,30
Olavanna,Grama Panchayat,Olavanna Grama Panchayat,Kunnamangalam,30
Perumanna,Grama Panchayat,Perumanna Grama Panchayat,Kunnamangalam,30
Peruvayal,Grama Panchayat,Peruvayal Grama Panchayat,Kunnamangalam,30
Kizhakkoth,Grama Panchayat,Kizhakkoth Grama Panchayat,Koduvally,31
Koduvally,Grama Panchayat,Koduvally Grama Panchayat,Koduvally,31
Madavoor,Grama Panchayat,Madavoor Grama Panchayat,Koduvally,31
Narikkuni,Grama Panchayat,Narikkuni Grama Panchayat,Koduvally,31
Omassery,Grama Panchayat,Omassery Grama Panchayat,Koduvally,31
Thamarassery,Grama Panchayat,Thamarassery Grama Panchayat,Koduvally,31
Karassery,Grama Panchayat,Karassery Grama Panchayat,Thiruvambadi,32
Kodencheri,Grama Panchayat,Kodencheri Grama Panchayat,Thiruvambadi,32
Kodiyathur,Grama Panchayat,Kodiyathur Grama Panchayat,Thiruvambadi,32
Koodaranji,Grama Panchayat,Koodaranji Grama Panchayat,Thiruvambadi,32
Mukkom,Grama Panchayat,Mukkom Grama Panchayat,Thiruvambadi,32
Puthuppadi,Grama Panchayat,Puthuppadi Grama Panchayat,Thiruvambadi,32
Thiruvambadi,Grama Panchayat,Thiruvambadi Grama Panchayat,Thiruvambadi,32
Cheacode,Grama Panchayat,Cheacode Grama Panchayat,Kondotty,33
Cherukavu,Grama Panchayat,Cherukavu Grama Panchayat,Kondotty,33
Kondotty,Grama Panchayat,Kondotty Grama Panchayat,Kondotty,33
Pulikkal,Grama Panchayat,Pulikkal Grama Panchayat,Kondotty,33
Vazhakkad,Grama Panchayat,Vazhakkad Grama Panchayat,Kondotty,33
Nediyiruppu,Grama Panchayat,Nediyiruppu Grama Panchayat,Kondotty,33
and Vazhayur,Grama Panchayat,and Vazhayur Grama Panchayat,Kondotty,33
Chaliyar,Grama Panchayat,Chaliyar Grama Panchayat,Ernad,34
and Areacode,Grama Panchayat,and Areacode Grama Panchayat,Ernad,34
Edavanna,Grama Panchayat,Edavanna Grama Panchayat,Ernad,34
Kavannoor,Grama Panchayat,Kavannoor Grama Panchayat,Ernad,34
Kizhuparamba,Grama Panchayat,Kizhuparamba Grama Panchayat,Ernad,34
Urangattiri,Grama Panchayat,Urangattiri Grama Panchayat,Ernad,34
Kuzhimanna,Grama Panchayat,Kuzhimanna Grama Panchayat,Ernad,34
Amarambalam,Grama Panchayat,Amarambalam Grama Panchayat,Nilambur,35
Chungathara,Grama Panchayat,Chungathara Grama Panchayat,Nilambur,35
Edakkara,Grama Panchayat,Edakkara Grama Panchayat,Nilambur,35
Karulai,Grama Panchayat,Karulai Grama Panchayat,Nilambur,35
Moothedam,Grama Panchayat,Moothedam Grama Panchayat,Nilambur,35
Nilambur,Grama Panchayat,Nilambur Grama Panchayat,Nilambur,35
Pothukal,Grama Panchayat,Pothukal Grama Panchayat,Nilambur,35
Vazhikkadavu,Grama Panchayat,Vazhikkadavu Grama Panchayat,Nilambur,35
Chokkad,Grama Panchayat,Chokkad Grama Panchayat,Wandoor (SC),36
Kalikavu,Grama Panchayat,Kalikavu Grama Panchayat,Wandoor (SC),36
Karuvarakundu,Grama Panchayat,Karuvarakundu Grama Panchayat,Wandoor (SC),36
Mampad,Grama Panchayat,Mampad Grama Panchayat,Wandoor (SC),36
Porur,Grama Panchayat,Porur Grama Panchayat,Wandoor (SC),36
Thiruvali,Grama Panchayat,Thiruvali Grama Panchayat,Wandoor (SC),36
Thuvvur,Grama Panchayat,Thuvvur Grama Panchayat,Wandoor (SC),36
Wandoor,Grama Panchayat,Wandoor Grama Panchayat,Wandoor (SC),36
Manjeri Municipality,Municipality,Manjeri Municipality,Manjeri,37
Pandikkad,Grama Panchayat,Pandikkad Grama Panchayat,Manjeri,37
Trikkalangode,Grama Panchayat,Trikkalangode Grama Panchayat,Manjeri,37
and Edappatta,Grama Panchayat,and Edappatta Grama Panchayat,Manjeri,37
Keezhattur,Grama Panchayat,Keezhattur Grama Panchayat,Manjeri,37
Perinthalmanna Municipality,Municipality,Perinthalmanna Municipality,Perinthalmanna,38
Aliparamba,Grama Panchayat,Aliparamba Grama Panchayat,Perinthalmanna,38
Elamkulam,Grama Panchayat,Elamkulam Grama Panchayat,Perinthalmanna,38
Pulamanthole,Grama Panchayat,Pulamanthole Grama Panchayat,Perinthalmanna,38
Thazhekode,Grama Panchayat,Thazhekode Grama Panchayat,Perinthalmanna,38
Vettathur,Grama Panchayat,Vettathur Grama Panchayat,Perinthalmanna,38
Melattur,Grama Panchayat,Melattur Grama Panchayat,Perinthalmanna,38
Angadippuram,Grama Panchayat,Angadippuram Grama Panchayat,Mankada,39
Koottilangadi,Grama Panchayat,Koottilangadi Grama Panchayat,Mankada,39
Kuruva,Grama Panchayat,Kuruva Grama Panchayat,Mankada,39
Makkaraparamba,Grama Panchayat,Makkaraparamba Grama Panchayat,Mankada,39
Mankada,Grama Panchayat,Mankada Grama Panchayat,Mankada,39
Moorkkanad,Grama Panchayat,Moorkkanad Grama Panchayat,Mankada,39
Puzhakkattiri,Grama Panchayat,Puzhakkattiri Grama Panchayat,Mankada,39
Malappuram Municipality,Municipality,Malappuram Municipality,Malappuram,40
Morayur,Grama Panchayat,Morayur Grama Panchayat,Malappuram,40
Pookkottur,Grama Panchayat,Pookkottur Grama Panchayat,Malappuram,40
Anakkayam,Grama Panchayat,Anakkayam Grama Panchayat,Malappuram,40
Pulpatta,Grama Panchayat,Pulpatta Grama Panchayat,Malappuram,40
and Kodur,Grama Panchayat,and Kodur Grama Panchayat,Malappuram,40
Abdu Rahiman Nagar,Grama Panchayat,Abdu Rahiman Nagar Grama Panchayat,Vengara,41
Kannamangalam,Grama Panchayat,Kannamangalam Grama Panchayat,Vengara,41
Othukkungal,Grama Panchayat,Othukkungal Grama Panchayat,Vengara,41
Parappur,Grama Panchayat,Parappur Grama Panchayat,Vengara,41
Urakam,Grama Panchayat,Urakam Grama Panchayat,Vengara,41
Vengara,Grama Panchayat,Vengara Grama Panchayat,Vengara,41
Chelembra,Grama Panchayat,Chelembra Grama Panchayat,Vallikunnu,42
